2023-11-28 21:14:46 status unpacked libnumber-compare-perl:all 0.03-3
2023-11-28 21:14:46 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-11-28 21:14:46 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-11-28 21:14:46 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-11-28 21:14:47 install libselinux1:amd64 <none> 3.4-1+b6
2023-11-28 21:14:47 status half-installed libselinux1:amd64 3.4-1+b6
2023-11-28 21:14:47 status unpacked libselinux1:amd64 3.4-1+b6
2023-11-28 21:14:47 install libsemanage-common:all <none> 3.4-1
2023-11-28 21:14:47 status half-installed libsemanage-common:all 3.4-1
2023-11-28 21:14:47 status unpacked libsemanage-common:all 3.4-1
2023-11-28 21:14:47 install libsemanage2:amd64 <none> 3.4-1+b5
2023-11-28 21:14:47 status half-installed libsemanage2:amd64 3.4-1+b5
2023-11-28 21:14:47 status unpacked libsemanage2:amd64 3.4-1+b5
2023-11-28 21:14:47 install libsepol2:amd64 <none> 3.4-2.1
2023-11-28 21:14:47 status half-installed libsepol2:amd64 3.4-2.1
2023-11-28 21:14:47 status unpacked libsepol2:amd64 3.4-2.1
2023-11-28 21:14:47 install libtasn1-6:amd64 <none> 4.19.0-2
2023-11-28 21:14:47 status half-installed libtasn1-6:amd64 4.19.0-2
2023-11-28 21:14:47 status unpacked libtasn1-6:amd64 4.19.0-2
2023-11-28 21:14:47 install libtext-glob-perl:all <none> 0.11-3
2023-11-28 21:14:47 status half-installed libtext-glob-perl:all 0.11-3
2023-11-28 21:14:47 status unpacked libtext-glob-perl:all 0.11-3
2023-11-28 21:14:47 install libunistring2:amd64 <none> 1.0-2
2023-11-28 21:14:47 status half-installed libunistring2:amd64 1.0-2
2023-11-28 21:14:48 status unpacked libunistring2:amd64 1.0-2
2023-11-28 21:14:48 install libcrypt1:amd64 <none> 1:4.4.33-2
2023-11-28 21:14:48 status half-installed libcrypt1:amd64 1:4.4.33-2
2023-11-28 21:14:48 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-11-28 21:14:48 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-11-28 21:14:48 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-11-28 21:14:48 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-11-28 21:14:48 install liblz4-1:amd64 <none> 1.9.4-1
2023-11-28 21:14:48 status half-installed liblz4-1:amd64 1.9.4-1
2023-11-28 21:14:48 status unpacked liblz4-1:amd64 1.9.4-1
2023-11-28 21:14:48 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-11-28 21:14:48 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-11-28 21:14:48 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-11-28 21:14:48 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-11-28 21:14:48 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-11-28 21:14:48 install libtinfo6:amd64 <none> 6.4-4
2023-11-28 21:14:48 status half-installed libtinfo6:amd64 6.4-4
2023-11-28 21:14:49 status unpacked libtinfo6:amd64 6.4-4
2023-11-28 21:14:49 install ncurses-base:all <none> 6.4-4
2023-11-28 21:14:49 status half-installed ncurses-base:all 6.4-4
2023-11-28 21:14:49 status unpacked ncurses-base:all 6.4-4
2023-11-28 21:14:49 install ncurses-bin:amd64 <none> 6.4-4
2023-11-28 21:14:49 status half-installed ncurses-bin:amd64 6.4-4
2023-11-28 21:14:49 status unpacked ncurses-bin:amd64 6.4-4
2023-11-28 21:14:49 install libhogweed6:amd64 <none> 3.8.1-2
2023-11-28 21:14:49 status half-installed libhogweed6:amd64 3.8.1-2
2023-11-28 21:14:49 status unpacked libhogweed6:amd64 3.8.1-2
2023-11-28 21:14:50 install libnettle8:amd64 <none> 3.8.1-2
2023-11-28 21:14:50 status half-installed libnettle8:amd64 3.8.1-2
2023-11-28 21:14:50 status unpacked libnettle8:amd64 3.8.1-2
